# path=square5
t,leg,leg_type,true_x,true_y,true_yaw,loc_x,loc_y,loc_yaw,glob_x,glob_y,glob_yaw,odom_x,odom_y,odom_yaw,cum_dist,cum_rot
1785541447.643,1,straight,-0.0521,4.1573,1.58325,-0.0518,4.1915,1.58325,nan,nan,nan,-4.1250,-0.7588,-2.95969,4.2311,1.58325
1785541447.893,1,straight,-0.0535,4.2743,1.58325,-0.0531,4.2950,1.58325,nan,nan,nan,-4.2401,-0.7799,-2.95969,4.3481,1.58325
1785541448.143,1,straight,-0.0549,4.3823,1.58325,-0.0546,4.4165,1.58325,nan,nan,nan,-4.3463,-0.7995,-2.95969,4.4561,1.58325
1785541448.393,1,straight,-0.0563,4.4993,1.58325,-0.0559,4.5200,1.58325,nan,nan,nan,-4.4614,-0.8206,-2.95969,4.5731,1.58325
1785541448.643,1,straight,-0.0577,4.6073,1.58325,-0.0574,4.6415,1.58325,nan,nan,nan,-4.5676,-0.8402,-2.95969,4.6811,1.58325
1785541448.893,1,straight,-0.0592,4.7243,1.58325,-0.0587,4.7450,1.58325,nan,nan,nan,-4.6827,-0.8613,-2.95969,4.7981,1.58325
1785541449.143,1,straight,-0.0605,4.8323,1.58325,-0.0602,4.8665,1.58325,nan,nan,nan,-4.7889,-0.8809,-2.95969,4.9061,1.58325
1785541449.393,1,straight,-0.0620,4.9493,1.58325,-0.0615,4.9699,1.58325,nan,nan,nan,-4.9040,-0.9020,-2.95969,5.0231,1.58325
1785541449.643,2,pause,-0.0622,4.9896,1.58325,-0.0620,5.0077,1.58325,nan,nan,nan,-4.9270,-0.9063,-2.95969,5.0635,1.58325
1785541449.893,2,pause,-0.0622,4.9896,1.58325,-0.0620,5.0077,1.58325,nan,nan,nan,-4.9270,-0.9063,-2.95969,5.0635,1.58325
1785541450.143,2,pause,-0.0622,4.9896,1.58325,-0.0620,5.0077,1.58325,nan,nan,nan,-4.9270,-0.9063,-2.95969,5.0635,1.58325
1785541450.393,2,pause,-0.0622,4.9896,1.58325,-0.0620,5.0077,1.58325,nan,nan,nan,-4.9270,-0.9063,-2.95969,5.0635,1.58325
1785541450.643,2,pause,-0.0622,4.9896,1.58325,-0.0620,5.0077,1.58325,nan,nan,nan,-4.9270,-0.9063,-2.95969,5.0635,1.58325
1785541450.893,2,pause,-0.0622,4.9896,1.58325,-0.0620,5.0077,1.58325,nan,nan,nan,-4.9270,-0.9063,-2.95969,5.0635,1.58325
1785541451.143,3,turn,-0.0622,4.9896,1.60501,-0.0620,5.0077,1.60501,nan,nan,nan,-4.9270,-0.9063,-2.91569,5.0635,1.60501
1785541451.393,3,turn,-0.0622,4.9897,1.67793,-0.0620,5.0077,1.66946,nan,nan,nan,-4.9270,-0.9063,-2.78569,5.0635,1.67793
1785541451.643,3,turn,-0.0622,4.9897,1.74647,-0.0620,5.0077,1.74647,nan,nan,nan,-4.9270,-0.9063,-2.66569,5.0635,1.74647
1785541451.893,3,turn,-0.0622,4.9897,1.82301,-0.0620,5.0077,1.81402,nan,nan,nan,-4.9270,-0.9063,-2.53569,5.0635,1.82301
1785541452.143,3,turn,-0.0622,4.9897,1.89668,-0.0619,5.0077,1.89668,nan,nan,nan,-4.9270,-0.9063,-2.41569,5.0636,1.89668
1785541452.393,3,turn,-0.0622,4.9898,1.97414,-0.0619,5.0077,1.97084,nan,nan,nan,-4.9270,-0.9063,-2.29569,5.0636,1.97414
1785541452.643,3,turn,-0.0622,4.9898,2.05695,-0.0619,5.0078,2.05695,nan,nan,nan,-4.9270,-0.9063,-2.16569,5.0636,2.05695
1785541452.893,3,turn,-0.0622,4.9898,2.12887,-0.0619,5.0078,2.12596,nan,nan,nan,-4.9270,-0.9063,-2.04569,5.0636,2.12887
1785541453.143,3,turn,-0.0622,4.9898,2.20233,-0.0619,5.0078,2.20233,nan,nan,nan,-4.9270,-0.9063,-1.91569,5.0636,2.20233
1785541453.393,3,turn,-0.0622,4.9898,2.26633,-0.0619,5.0078,2.26373,nan,nan,nan,-4.9270,-0.9063,-1.79569,5.0636,2.26633
1785541453.643,3,turn,-0.0622,4.9898,2.33182,-0.0619,5.0078,2.33182,nan,nan,nan,-4.9270,-0.9063,-1.66569,5.0636,2.33182
1785541453.893,3,turn,-0.0622,4.9900,2.39215,-0.0619,5.0078,2.38962,nan,nan,nan,-4.9270,-0.9063,-1.54569,5.0638,2.39215
1785541454.143,3,turn,-0.0622,4.9900,2.45547,-0.0619,5.0078,2.45547,nan,nan,nan,-4.9270,-0.9063,-1.41569,5.0638,2.45547
1785541454.393,3,turn,-0.0622,4.9900,2.51004,-0.0619,5.0078,2.50784,nan,nan,nan,-4.9270,-0.9063,-1.29569,5.0638,2.51004
1785541454.643,3,turn,-0.0622,4.9900,2.56519,-0.0618,5.0078,2.56519,nan,nan,nan,-4.9270,-0.9063,-1.16569,5.0638,2.56519
1785541454.893,3,turn,-0.0622,4.9900,2.61264,-0.0618,5.0078,2.61073,nan,nan,nan,-4.9270,-0.9063,-1.04569,5.0638,2.61264
1785541455.143,3,turn,-0.0622,4.9900,2.66049,-0.0618,5.0078,2.66049,nan,nan,nan,-4.9270,-0.9063,-0.91569,5.0638,2.66049
1785541455.393,3,turn,-0.0622,4.9900,2.70154,-0.0618,5.0078,2.69989,nan,nan,nan,-4.9270,-0.9063,-0.79569,5.0638,2.70154
1785541455.643,3,turn,-0.0622,4.9903,2.74382,-0.0618,5.0078,2.74382,nan,nan,nan,-4.9270,-0.9063,-0.66569,5.0641,2.74382
1785541455.893,3,turn,-0.0622,4.9919,2.78476,-0.0618,5.0078,2.78301,nan,nan,nan,-4.9270,-0.9063,-0.54569,5.0657,2.78476
1785541456.143,3,turn,-0.0622,4.9953,2.83168,-0.0618,5.0078,2.83168,nan,nan,nan,-4.9270,-0.9063,-0.41569,5.0691,2.83168
1785541456.393,3,turn,-0.0622,4.9999,2.87726,-0.0618,5.0078,2.87532,nan,nan,nan,-4.9270,-0.9063,-0.29569,5.0737,2.87726
1785541456.643,3,turn,-0.0622,5.0064,2.92887,-0.0618,5.0078,2.92887,nan,nan,nan,-4.9270,-0.9063,-0.16569,5.0803,2.92887
1785541456.893,3,turn,-0.0622,5.0138,2.97830,-0.0618,5.0078,2.97621,nan,nan,nan,-4.9270,-0.9063,-0.04569,5.0877,2.97830
1785541457.143,3,turn,-0.0622,5.0232,3.03340,-0.0618,5.0078,3.03340,nan,nan,nan,-4.9270,-0.9063,0.08431,5.0971,3.03340
1785541457.393,3,turn,-0.0622,5.0331,3.08528,-0.0618,5.0078,3.08311,nan,nan,nan,-4.9270,-0.9063,0.20431,5.1069,3.08528
1785541457.643,3,turn,-0.0622,5.0448,-3.14111,-0.0618,5.0078,-3.14111,nan,nan,nan,-4.9270,-0.9063,0.33431,5.1186,3.14208
1785541457.893,4,pause,-0.0622,5.0500,-3.11686,-0.0618,5.0078,-3.11686,nan,nan,nan,-4.9270,-0.9063,0.38831,5.1238,3.16633
1785541458.143,4,pause,-0.0622,5.0500,-3.11686,-0.0618,5.0078,-3.11686,nan,nan,nan,-4.9270,-0.9063,0.38831,5.1238,3.16633
1785541458.393,4,pause,-0.0622,5.0500,-3.11686,-0.0618,5.0078,-3.11686,nan,nan,nan,-4.9270,-0.9063,0.38831,5.1238,3.16633
1785541458.643,4,pause,-0.0622,5.0500,-3.11686,-0.0618,5.0078,-3.11686,nan,nan,nan,-4.9270,-0.9063,0.38831,5.1238,3.16633
1785541458.893,4,pause,-0.0622,5.0500,-3.11686,-0.0618,5.0078,-3.11686,nan,nan,nan,-4.9270,-0.9063,0.38831,5.1238,3.16633
1785541459.143,4,pause,-0.0622,5.0500,-3.11686,-0.0618,5.0078,-3.11686,nan,nan,nan,-4.9270,-0.9063,0.38831,5.1238,3.16633
1785541459.393,5,straight,-0.0629,5.0500,-3.11686,-0.0621,5.0078,-3.11686,nan,nan,nan,-4.9262,-0.9060,0.38831,5.1245,3.16633
1785541459.643,5,straight,-0.1184,5.0484,-3.11686,-0.1238,5.0065,-3.11686,nan,nan,nan,-4.8676,-0.8820,0.38831,5.1800,3.16633
1785541459.893,5,straight,-0.2235,5.0457,-3.11686,-0.2271,5.0039,-3.11686,nan,nan,nan,-4.7677,-0.8411,0.38831,5.2851,3.16633
1785541460.143,5,straight,-0.3405,5.0428,-3.11686,-0.3486,5.0009,-3.11686,nan,nan,nan,-4.6594,-0.7968,0.38831,5.4021,3.16633
1785541460.393,5,straight,-0.4484,5.0402,-3.11686,-0.4520,4.9983,-3.11686,nan,nan,nan,-4.5594,-0.7559,0.38831,5.5101,3.16633
